region,x2,haplotype_number,query,x,y,xmin,ymin,xmax,ymax
Andhra,NA,2,Andhra,80.1863809,15.9240905,76.7611312,12.6227232,84.7647411,19.1663296
Tirupati,NA,1,Tirupati,79.4231711,13.6316368,79.2631711,13.4716368,79.5831711,13.7916368
Tirupati,NA,1,Tirupati,79.4231711,13.6316368,79.2631711,13.4716368,79.5831711,13.7916368
Nelivada,NA,1,Nelivada,83.3758514,18.2061104,83.3558514,18.1861104,83.3958514,18.2261104
Chinthapalle,NA,1,NA,82.35,17.87,NA,NA,NA,NA
Anakapalle,NA,4,Anakapalle,83.003476,17.68897,82.963476,17.64897,83.043476,17.72897
Anakapalle,NA,1,Anakapalle,83.003476,17.68897,82.963476,17.64897,83.043476,17.72897
Anakapalle,NA,1,Anakapalle,83.003476,17.68897,82.963476,17.64897,83.043476,17.72897
Vijayawada,NA,1,Vijayawada,80.6185102,16.5087586,80.4585102,16.3487586,80.7785102,16.6687586
East Godavari,NA,4,East Godavari,81.7225986,17.233496,80.8854945,16.3102761,82.6048922,18.0147478
West Godavari,NA,4,West Godavari,81.166667,17,80.8504057,16.3127721,81.8604646,17.6522277
Rajendranagar,NA,1,Rajendranagar,77.6174963,12.9466371,77.6074963,12.9366371,77.6274963,12.9566371
Siddipet,NA,1,Siddipet,78.89611305,18.0055851,78.4928958,17.6672652,79.3033558,18.3443771
Nagarkurnool,NA,1,Nagarkurnool,78.68304333,16.41576265,78.1008312,16.000533,79.2342633,16.8309594
Khammam,NA,1,Khammam,80.333333,17.5,79.8012521,16.7675671,80.9255787,17.5778961
Medak,NA,4,Medak,78.21174499,17.9375095,77.7945053,17.6595812,78.589261,18.2154768
Hyderabad,NA,4,Hyderabad,78.46106473,17.38878595,78.3819883,17.2931295,78.5563157,17.4843058
Jammikunta,NA,4,Jammikunta,79.4739441,18.2897332,79.4339441,18.2497332,79.5139441,18.3297332
Gauribidanur,NA,1,Gauribidanur,77.5131354,13.6134495,77.5081354,13.6084495,77.5181354,13.6184495
Hassan,NA,4,Hassan,76.0992703,13.0070817,75.9392703,12.8470817,76.2592703,13.1670817
Hassan,NA,1,Hassan,76.0992703,13.0070817,75.9392703,12.8470817,76.2592703,13.1670817
Bellur,NA,1,Bellur,77.9918549,13.1373251,77.9718549,13.1173251,78.0118549,13.1573251
Shimoga,NA,1,Shimoga,75.569737,13.9311723,75.409737,13.7711723,75.729737,14.0911723
Shimoga,NA,1,Shimoga,75.569737,13.9311723,75.409737,13.7711723,75.729737,14.0911723
Shimoga,NA,1,Shimoga,75.569737,13.9311723,75.409737,13.7711723,75.729737,14.0911723
Dharwad,NA,1,Dharwad,75.0066516,15.4540505,74.8466516,15.2940505,75.1666516,15.6140505
Chikkabalapur,NA,1,NA,77.73,13.43,NA,NA,NA,NA
Chikkabalapur,NA,1,NA,77.73,13.43,NA,NA,NA,NA
Doddabalapur,NA,2,NA,77.73,13.43,NA,NA,NA,NA
Bagalkot,NA,1,Bagalkot,75.6967919,16.1853166,75.5367919,16.0253166,75.8567919,16.3453166
Mandya,NA,1,Mandya,76.8961961,12.5238888,76.7361961,12.3638888,77.0561961,12.6838888
Bengaluru,NA,4,Bengaluru,77.5912997,12.9791198,77.4601025,12.8340125,77.7840515,13.1436649
Bengaluru,NA,4,Bengaluru,77.5912997,12.9791198,77.4601025,12.8340125,77.7840515,13.1436649
Bengaluru,NA,8,Bengaluru,77.5912997,12.9791198,77.4601025,12.8340125,77.7840515,13.1436649
Bengaluru,NA,9,Bengaluru,77.5912997,12.9791198,77.4601025,12.8340125,77.7840515,13.1436649
Bengaluru,NA,10,Bengaluru,77.5912997,12.9791198,77.4601025,12.8340125,77.7840515,13.1436649
Bengaluru,NA,11,Bengaluru,77.5912997,12.9791198,77.4601025,12.8340125,77.7840515,13.1436649
Bengaluru,NA,1,Bengaluru,77.5912997,12.9791198,77.4601025,12.8340125,77.7840515,13.1436649
Haniyuru,NA,4,Haniyuru,77.2763952,12.5459412,77.2563952,12.5259412,77.2963952,12.5659412
Hanchipura,NA,1,Hanchipura,76.9427101,12.8311294,76.9227101,12.8111294,76.9627101,12.8511294
Channagiri,NA,5,Channagiri,75.925,14.0252,75.885,13.9852,75.965,14.0652
Bhadravathi,NA,1,Bhadravathi,75.7037863,13.8502075,75.5437863,13.6902075,75.8637863,14.0102075
Belagavi,NA,1,Belagavi,74.5069343,15.8572666,74.3469343,15.6972666,74.6669343,16.0172666
Kadur,NA,1,Kadur,76.01126,13.553345,113.5406019,-7.1015962,113.5806019,-7.0615962
Honalli,NA,1,Honalli,76.6008461,17.5903252,76.5808461,17.5703252,76.6208461,17.6103252
Chamarajanagar,NA,1,Chamarajanagar,76.9328209,11.9346006,76.9278209,11.9296006,76.9378209,11.9396006
Davanagere,NA,7,Davanagere,75.9206361,14.4661266,75.7606361,14.3061266,76.0806361,14.6261266
Harihara,NA,1,Harihara,75.809288,14.5116874,75.769288,14.4716874,75.849288,14.5516874
Kerala,NA,2,Kerala,76.5120396,10.3528744,74.8638275,8.2924566,77.4119403,12.7944687
Alathur,NA,1,Alathur,78.90812918,11.13473975,78.6510372,11.0564935,79.0788602,11.2129661
Coimbatore,NA,6,Coimbatore,76.9628425,11.0018115,76.8028425,10.8418115,77.1228425,11.1618115
Coimbatore,NA,1,Coimbatore,76.9628425,11.0018115,76.8028425,10.8418115,77.1228425,11.1618115
Coimbatore,NA,1,Coimbatore,76.9628425,11.0018115,76.8028425,10.8418115,77.1228425,11.1618115
Coimbatore,NA,1,Coimbatore,76.9628425,11.0018115,76.8028425,10.8418115,77.1228425,11.1618115
Coimbatore,NA,1,Coimbatore,76.9628425,11.0018115,76.8028425,10.8418115,77.1228425,11.1618115
Modakuruchi,NA,1,Modakuruchi,77.7784062,11.234433,77.7584062,11.214433,77.7984062,11.254433
Pugalur,NA,1,Pugalur,77.9873998,11.049198,77.9673998,11.029198,78.0073998,11.069198
Coimbatore,NA,1,Coimbatore,76.9628425,11.0018115,76.8028425,10.8418115,77.1228425,11.1618115
Avatti,NA,1,NA,79.07,11.47,NA,NA,NA,NA
Perambulur,NA,14,NA,78.88,11.23,NA,NA,NA,NA
Villupuram,NA,1,Villupuram,79.4945645,11.9398285,79.4945145,11.9397785,79.4946145,11.9398785
Chelampatty,NA,15,NA,77.89,9.94,NA,NA,NA,NA
Harur,NA,1,Harur,78.58505062,12.02388515,78.3192587,11.849386,78.7454938,12.1966251
Chinnasalem,NA,1,Chinnasalem,78.8809891,11.6354866,78.8409891,11.5954866,78.9209891,11.6754866
Tirupur,NA,1,Tirupur,77.3472673,11.1671878,77.3472173,11.1671378,77.3473173,11.1672378
Dharmapuri,NA,16,Dharmapuri,78.19304301,12.09680475,78.0780315,11.9701428,78.289411,12.2244763
Pudukottai,NA,2,Pudukottai,78.8167344,10.37515825,78.7994599,10.3541369,78.8389528,10.3967677
Pudukottai,NA,1,Pudukottai,78.8167344,10.37515825,78.7994599,10.3541369,78.8389528,10.3967677
Dharapuram,NA,1,Dharapuram,77.54621077,10.75772065,77.2710513,10.6048058,77.8927553,10.9107265
Periyakulam,NA,1,Periyakulam,77.59723205,10.1105106,77.4655223,10.003022,77.7294731,10.2183856
Valajanagaram,NA,1,NA,79.09,11.12,NA,NA,NA,NA
Karamadai,NA,1,Karamadai,76.9600768,11.2393183,76.9519,11.22975,76.97254,11.24985
Sendurai,NA,1,Sendurai,79.18655764,11.27200925,79.1090726,11.1496243,79.2973637,11.3918178
Vikramanglam,NA,1,NA,79.23,11.04,NA,NA,NA,NA
Edayarpalayam,NA,1,Edayarpalayam,76.9345532,11.0396035,76.9258577,11.0392468,76.942266,11.044628
Kolathur,NA,1,Kolathur,80.2046276,13.1241127,80.1846276,13.1041127,80.2246276,13.1441127
Kadagathur,NA,1,NA,78.13,12.17,NA,NA,NA,NA
Theni,NA,1,Theni,77.47420049,9.9696643,77.3819875,9.8467173,77.5155669,10.0932621
Pudukad,NA,1,Pudukad,76.2609953,10.4207845,76.2559953,10.4157845,76.2659953,10.4257845
Thanjavur,NA,1,Thanjavur,79.1381497,10.7860267,78.9781497,10.6260267,79.2981497,10.9460267
Madurai,NA,1,Madurai,77.833333,9.833333,77.133333,9.133333,78.533333,10.533333
Vandavasi,NA,1,Vandavasi,79.59517139,12.47006965,79.3930433,12.3449322,79.7562575,12.5973079
West Bengal,NA,1,West Bengal,87.6855882,22.9964948,85.8200883,21.5422668,89.8725414,27.2212039
West Bengal,NA,1,West Bengal,87.6855882,22.9964948,85.8200883,21.5422668,89.8725414,27.2212039
Latur,NA,1,Latur,76.75512122,18.35146855,76.2024244,17.8693031,77.2952771,18.8388846
Maharashtra,NA,1,Maharashtra,75.6741579,18.9068356,72.6526112,15.6063596,80.8977842,22.0302528
Pune,NA,4,Pune,73.8544541,18.521428,73.6944541,18.361428,74.0144541,18.681428
Pune,NA,1,Pune,73.8544541,18.521428,73.6944541,18.361428,74.0144541,18.681428
Kolhapur,NA,2,Kolhapur,74.2405329,16.7028412,74.0805329,16.5428412,74.4005329,16.8628412
Goa,NA,2,Goa,74.0855134,15.3004543,71.4855134,12.7004543,76.6855134,17.9004543
Goa,NA,2,Goa,74.0855134,15.3004543,71.4855134,12.7004543,76.6855134,17.9004543
Goa,NA,3,Goa,74.0855134,15.3004543,71.4855134,12.7004543,76.6855134,17.9004543
Goa,NA,1,Goa,74.0855134,15.3004543,71.4855134,12.7004543,76.6855134,17.9004543
Goa,NA,1,Goa,74.0855134,15.3004543,71.4855134,12.7004543,76.6855134,17.9004543
Goa,NA,1,Goa,74.0855134,15.3004543,71.4855134,12.7004543,76.6855134,17.9004543
Goa,NA,1,Goa,74.0855134,15.3004543,71.4855134,12.7004543,76.6855134,17.9004543
